"","스크린수","개봉일스크린수"
"1",475,339
"2",1486,1354
"3",806,671
"4",707,575
"5",432,344
"6",593,549
"7",299,264
"8",1180,1180
"9",876,513
"10",956,825
"11",1314,1195
"12",645,629
"13",1229,1125
"14",544,403
"15",1431,1146
"16",1117,880
"17",238,212
"18",603,404
"19",530,245
"20",926,786
"21",785,695
"22",585,525
"23",794,664
"24",532,470
"25",1171,1016
"26",1140,1004
"27",1307,1048
"28",1177,957
"29",1054,947
"30",544,398
"31",807,806
"32",418,379
"33",740,673
"34",825,740
"35",386,333
"36",514,473
"37",890,768
"38",1137,971
"39",481,411
"40",742,602
"41",384,360
"42",483,420
"43",472,435
"44",351,271
"45",949,731
"46",1426,1259
"47",1109,834
"48",1317,934
"49",1394,1250
"50",1511,1139
"51",563,502
"52",1310,1125
"53",809,674
"54",964,774
"55",756,495
"56",1532,1063
"57",418,367
"58",694,508
"59",1971,1970
"60",713,599
"61",1476,1392
"62",1210,1123
"63",779,623
"64",671,602
"65",501,411
"66",1540,1121
"67",759,515
"68",1013,667
"69",629,463
"70",1325,1081
"71",356,321
"72",569,538
"73",612,589
"74",634,447
"75",1102,1102
"76",433,391
"77",638,597
"78",492,322
"79",407,334
"80",1184,1029
"81",1299,1299
"82",1812,1268
"83",1485,1125
"84",1392,900
"85",408,345
"86",1240,927
"87",570,506
"88",2027,2027
"89",1129,907
"90",854,588
"91",622,470
"92",1234,889
"93",1501,1448
"94",1444,1221
"95",1315,600
"96",894,751
"97",1128,936
"98",1027,577
"99",546,392
"100",1660,1323
"101",1341,937
"102",1049,901
"103",824,702
"104",615,524
"105",1105,820
"106",910,786
"107",551,463
"108",1095,1009
